SAP Linkage No,YHQ Sales Order No,YHQ Sales Order Item No,Item Entry Date,Order Type,Model,Qty,QIC Delivery Style,"Contractor
Corporate
ID",P/O  No.,"Customer's
P/O No.","Delivery
Customer
Id","End user
Country
Code","Estimated
FOB","YHQ
Sales
Date
(On or about
Ship date)",Remarks,Ship Point,MS Code,Production Center,"Ship Point 
(ship from 
factory)",Order No,Item No,"Start
Manufacturing
Date","Instructed
Complete
Date","Complete
Date",Actual Date,"Current
Status"
1008319380000090,2009234503,000090,2023/08/23,Y101,F9270BK,1000,,L2Q00,4511299052,4511299052,C2Q00004,IN,2024/03/01,,,1022,F9270BK,YMG,5826,2009234560,000020,2023/08/24,2024/02/21,,,
1008319380000100,2009234503,000100,2023/08/23,Y101,F9270BK,1000,,L2Q00,4511299052,4511299052,C2Q00004,IN,2024/03/01,,,1022,F9270BK,YMG,5826,2009234560,000030,2023/08/24,2024/02/21,,,
1008334863000010,2009250403,000010,2023/08/30,Y101,F9900SB,200,,L2Q00,4511316889,4511316889,C2Q00004,IN,2024/03/21,,,1022,F9900SB,YMG,5826,2009250433,000010,2023/08/31,2024/03/12,,,
1008334863000020,2009250403,000020,2023/08/30,Y101,F9900SB,200,,L2Q00,4511316889,4511316889,C2Q00004,IN,2024/03/21,,,1022,F9900SB,YMG,5826,2009250433,000020,2023/08/31,2024/03/12,,,
1008334863000030,2009250403,000030,2023/08/30,Y101,F9900SB,200,,L2Q00,4511316889,4511316889,C2Q00004,IN,2024/03/21,,,1022,F9900SB,YMG,5826,2009250433,000030,2023/08/31,2024/03/12,,,
1008340705000030,2009258407,000030,2023/09/04,Y101,F9910LS,560,,L2Q00,4511326273,KD-48,C2Q00004,IN,2023/11/20,2023/11/15,,1022,F9910LS,YMG,5826,2009258387,000010,2023/09/04,2024/03/05,2023/11/09,2023/11/09,Ship Out
1008340705000040,2009258407,000040,2023/09/04,Y101,F9910LS,560,,L2Q00,4511326273,KD-48,C2Q00004,IN,2023/11/20,2023/11/15,,1022,F9910LS,YMG,5826,2009258387,000020,2023/09/04,2024/03/05,2023/11/09,2023/11/09,Ship Out
1008341596000370,2009258267,000370,2023/09/04,Y101,F9913RV,16,,L2Q00,4511323774,4511323774,C2Q00004,IN,2023/11/21,2023/11/08,,1022,F9913RV,YMG,5826,2009258349,000280,2023/10/03,2023/11/13,2023/10/31,2023/10/31,Ship Out
1008341596000380,2009258267,000380,2023/09/04,Y101,F9913RV,16,,L2Q00,4511323774,4511323774,C2Q00004,IN,2023/11/24,2023/11/08,,1022,F9913RV,YMG,5826,2009258349,000290,2023/10/03,2023/11/15,2023/10/31,2023/11/01,Ship Out
1008341596000390,2009258267,000390,2023/09/04,Y101,F9913RV,16,,L2Q00,4511323774,4511323774,C2Q00004,IN,2023/11/29,2023/11/15,,1022,F9913RV,YMG,5826,2009258349,000300,2023/10/24,2023/11/20,2023/11/09,2023/11/09,Ship Out
1008341596000400,2009258267,000400,2023/09/04,Y101,F9913RV,16,,L2Q00,4511323774,4511323774,C2Q00004,IN,2023/12/01,2023/11/15,,1022,F9913RV,YMG,5826,2009258349,000310,2023/10/24,2023/11/21,2023/11/09,2023/11/09,Ship Out
1008366402000010,2009279112,000010,2023/09/14,Y101,A1462CC,10800,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/20,2023/11/15,,1022,A1462CC,YMG,5826,2009279047,000010,2023/09/14,2024/01/29,2023/11/08,2023/11/09,Ship Out
1008366402000980,2009279112,000980,2023/09/14,Y101,F9270BK,1000,,L2Q00,4511351250,KD-54,C2Q00004,IN,2024/03/26,,,1022,F9270BK,YMG,5826,2009279047,000260,2023/09/14,2024/03/15,,,
1008366402000990,2009279112,000990,2023/09/14,Y101,F9270BK,1000,,L2Q00,4511351250,KD-54,C2Q00004,IN,2024/03/26,,,1022,F9270BK,YMG,5826,2009279047,000270,2023/09/14,2024/03/15,,,
1008366402001000,2009279112,001000,2023/09/14,Y101,F9270BK,1000,,L2Q00,4511351250,KD-54,C2Q00004,IN,2024/03/26,,,1022,F9270BK,YMG,5826,2009279047,000280,2023/09/14,2024/03/15,,,
1008366402001070,2009279112,001070,2023/09/14,Y101,F9275ED,50,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/20,2023/11/15,,1022,F9275ED,YMG,5826,2009279048,000250,2023/09/14,2023/11/20,2023/11/07,2023/11/09,Ship Out
1008366402001080,2009279112,001080,2023/09/14,Y101,F9275ED,50,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/20,2023/11/15,,1022,F9275ED,YMG,5826,2009279048,000260,2023/09/14,2023/11/20,2023/11/07,2023/11/09,Ship Out
1008366402001500,2009279112,001500,2023/09/14,Y101,F9340SB,50,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/17,2023/11/08,,1022,F9340SB,YMG,5826,2009279048,000560,2023/09/14,2023/11/09,2023/10/27,2023/10/30,Ship Out
1008366402001870,2009279112,001870,2023/09/14,Y101,F9342NJ,600,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/15,2023/11/08,,1022,F9342NJ,YMG,5826,2009279221,000560,2023/09/26,2023/11/07,2023/11/01,2023/11/01,Ship Out
1008366402002080,2009320737,000010,2023/10/04,Y101,F9900AC,100,,L2Q00,4511395849,4511395849,C2Q00004,IN,2023/11/21,2023/11/08,,1022,F9900AC,YMG,5826,2009320765,000010,2023/10/24,2023/11/13,2023/11/01,2023/11/03,Ship Out
1008366402002250,2009279112,002250,2023/09/14,Y101,F9900AC,100,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/15,2023/11/08,,1022,F9900AC,YMG,5826,2009279221,000900,2023/09/26,2023/11/07,2023/10/30,2023/10/31,Ship Out
1008366402003000,2009279112,003000,2023/09/14,Y101,F9900SK,2400,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/24,2023/11/17,,1022,F9900SK,YMG,5826,2009279047,001030,2023/09/14,2023/12/27,2023/11/13,2023/11/14,Ship Out
1008366402003010,2009279112,003010,2023/09/14,Y101,F9900SN,800,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/15,2023/11/13,,1022,F9900SN,YMG,5826,2009279047,001040,2023/09/14,2023/11/16,2023/11/02,2023/11/06,Ship Out
1008366402003020,2009279112,003020,2023/09/14,Y101,F9900SN,800,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/27,2023/11/15,,1022,F9900SN,YMG,5826,2009279047,001050,2023/09/14,2023/11/16,2023/11/08,2023/11/09,Ship Out
1008366402003030,2009279112,003030,2023/09/14,Y101,F9900SN,800,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/27,2023/11/17,,1022,F9900SN,YMG,5826,2009279047,001060,2023/09/14,2023/11/16,2023/11/10,2023/11/13,Ship Out
1008366402003180,2009279112,003180,2023/09/14,Y101,F9910LS,560,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/20,2023/11/15,,1022,F9910LS,YMG,5826,2009279048,001150,2023/09/14,2024/03/15,2023/11/09,2023/11/10,Ship Out
1008366402003190,2009279112,003190,2023/09/14,Y101,F9910LS,560,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/20,2023/11/15,,1022,F9910LS,YMG,5826,2009279048,001160,2023/09/14,2024/03/15,2023/11/09,2023/11/10,Ship Out
1008366402003200,2009279112,003200,2023/09/14,Y101,F9910LS,560,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/20,2023/11/15,,1022,F9910LS,YMG,5826,2009279048,001170,2023/09/14,2024/03/15,2023/11/09,2023/11/10,Ship Out
1008366402003210,2009279112,003210,2023/09/14,Y101,F9910LS,560,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/20,2023/11/15,,1022,F9910LS,YMG,5826,2009279048,001180,2023/09/14,2024/03/15,2023/11/09,2023/11/10,Ship Out
1008366402003220,2009279112,003220,2023/09/14,Y101,F9910LS,560,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/21,2023/11/15,,1022,F9910LS,YMG,5826,2009279048,001190,2023/09/14,2023/11/10,2023/11/09,2023/11/10,Ship Out
1008366402003230,2009279112,003230,2023/09/14,Y101,F9910LS,560,,L2Q00,4511351250,KD-54,C2Q00004,IN,2024/03/26,,,1022,F9910LS,YMG,5826,2009279048,001200,2023/09/14,2024/03/15,,,
1008366402003240,2009279112,003240,2023/09/14,Y101,F9910LS,560,,L2Q00,4511351250,KD-54,C2Q00004,IN,2024/03/26,,,1022,F9910LS,YMG,5826,2009279048,001210,2023/09/14,2024/03/15,,,
1008366402003250,2009279112,003250,2023/09/14,Y101,F9910LS,560,,L2Q00,4511351250,KD-54,C2Q00004,IN,2024/03/26,,,1022,F9910LS,YMG,5826,2009279048,001220,2023/09/14,2024/03/15,,,
1008366402003260,2009279112,003260,2023/09/14,Y101,F9910LS,560,,L2Q00,4511351250,KD-54,C2Q00004,IN,2024/03/26,,,1022,F9910LS,YMG,5826,2009279048,001230,2023/09/14,2024/03/15,,,
1008366402003270,2009279112,003270,2023/09/14,Y101,F9910LS,360,,L2Q00,4511351250,KD-54,C2Q00004,IN,2024/03/26,,,1022,F9910LS,YMG,5826,2009279048,001240,2023/09/14,2024/03/15,,,
1008366402003400,2009279112,003400,2023/09/14,Y101,F9920BN,36,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/17,2023/11/08,,1022,F9920BN,YMG,5826,2009279221,001010,2023/09/26,2023/11/09,2023/10/31,2023/11/01,Ship Out
1008366402003410,2009279112,003410,2023/09/14,Y101,F9920BN,36,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/21,2023/11/13,,1022,F9920BN,YMG,5826,2009279221,001020,2023/10/03,2023/11/13,2023/11/06,2023/11/06,Ship Out
1008366402003590,2009279112,003590,2023/09/14,Y101,F9920BN,36,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/17,2023/11/08,,1022,F9920BN,YMG,5826,2009279221,001200,2023/09/26,2023/11/09,2023/10/31,2023/11/01,Ship Out
1008366402003600,2009279112,003600,2023/09/14,Y101,F9920BN,36,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/21,2023/11/13,,1022,F9920BN,YMG,5826,2009279221,001210,2023/10/03,2023/11/13,2023/11/06,2023/11/06,Ship Out
1008366402003780,2009279112,003780,2023/09/14,Y101,F9920BQ,36,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/17,2023/11/08,,1022,F9920BQ,YMG,5826,2009279221,001390,2023/09/26,2023/11/09,2023/11/01,2023/11/01,Ship Out
1008366402003790,2009279112,003790,2023/09/14,Y101,F9920BQ,36,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/21,2023/11/13,,1022,F9920BQ,YMG,5826,2009279221,001400,2023/10/03,2023/11/13,2023/11/06,2023/11/06,Ship Out
1008366402003970,2009279112,003970,2023/09/14,Y101,F9920BQ,36,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/17,2023/11/08,,1022,F9920BQ,YMG,5826,2009279221,001580,2023/09/26,2023/11/09,2023/11/02,2023/11/02,Ship Out
1008366402003980,2009279112,003980,2023/09/14,Y101,F9920BQ,36,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/21,2023/11/13,,1022,F9920BQ,YMG,5826,2009279221,001590,2023/10/03,2023/11/13,2023/11/06,2023/11/06,Ship Out
1008366402004140,2009279112,004140,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/10,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,001750,2023/10/17,2023/11/01,2023/10/31,2023/10/31,Ship Out
1008366402004150,2009279112,004150,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/15,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,001760,2023/10/17,2023/11/07,2023/10/31,2023/10/31,Ship Out
1008366402004160,2009279112,004160,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/17,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,001770,2023/10/17,2023/11/09,2023/10/31,2023/11/01,Ship Out
1008366402004170,2009279112,004170,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/21,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,001780,2023/10/17,2023/11/13,2023/10/31,2023/11/01,Ship Out
1008366402004290,2009279112,004290,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,001900,2023/10/17,2023/11/02,2023/10/31,2023/10/31,Ship Out
1008366402004320,2009279112,004320,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/07,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,001930,2023/10/18,2023/10/27,2023/10/31,2023/10/31,Ship Out
1008366402004330,2009279112,004330,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/10,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,001940,2023/10/17,2023/11/01,2023/10/31,2023/10/31,Ship Out
1008366402004340,2009279112,004340,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/15,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,001950,2023/10/17,2023/11/07,2023/10/31,2023/10/31,Ship Out
1008366402004350,2009279112,004350,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/17,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,001960,2023/10/17,2023/11/09,2023/10/31,2023/11/01,Ship Out
1008366402004360,2009279112,004360,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/21,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,001970,2023/10/17,2023/11/13,2023/10/31,2023/11/01,Ship Out
1008366402004370,2009279112,004370,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,001980,2023/10/17,2023/11/02,2023/10/31,2023/10/31,Ship Out
1008366402004380,2009279112,004380,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,001990,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004390,2009279112,004390,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002000,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004400,2009279112,004400,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002010,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004410,2009279112,004410,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002020,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004420,2009279112,004420,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002030,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004430,2009279112,004430,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002040,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004440,2009279112,004440,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002050,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004450,2009279112,004450,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002060,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004460,2009279112,004460,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002070,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004470,2009279112,004470,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002080,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004480,2009279112,004480,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002090,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004520,2009279112,004520,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/10,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002130,2023/10/17,2023/11/01,2023/11/01,2023/11/01,Ship Out
1008366402004530,2009279112,004530,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/15,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002140,2023/10/17,2023/11/07,2023/10/31,2023/10/31,Ship Out
1008366402004540,2009279112,004540,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/17,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002150,2023/10/17,2023/11/09,2023/10/31,2023/11/01,Ship Out
1008366402004550,2009279112,004550,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/21,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002160,2023/10/17,2023/11/13,2023/10/31,2023/10/31,Ship Out
1008366402004560,2009279112,004560,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002170,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004570,2009279112,004570,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002180,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004580,2009279112,004580,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002190,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004590,2009279112,004590,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002200,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004600,2009279112,004600,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002210,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004610,2009279112,004610,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002220,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004620,2009279112,004620,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002230,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004630,2009279112,004630,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002240,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004640,2009279112,004640,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002250,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004650,2009279112,004650,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002260,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004660,2009279112,004660,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002270,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004670,2009279112,004670,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/13,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002280,2023/10/17,2023/11/02,2023/11/01,2023/11/01,Ship Out
1008366402004710,2009279112,004710,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/10,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002320,2023/10/17,2023/11/01,2023/11/01,2023/11/01,Ship Out
1008366402004720,2009279112,004720,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/15,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002330,2023/10/17,2023/11/07,2023/10/31,2023/10/31,Ship Out
1008366402004730,2009279112,004730,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/17,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002340,2023/10/17,2023/11/09,2023/10/31,2023/11/01,Ship Out
1008366402004740,2009279112,004740,2023/09/14,Y101,F9920LV,60,,L2Q00,4511351250,KD-54,C2Q00004,IN,2023/11/21,2023/11/08,,1022,F9920LV,YMG,5826,2009279221,002350,2023/10/17,2023/11/13,2023/10/31,2023/10/31,Ship Out
